id,P,F,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
1,C,C,0,0,0,0.5,0.666666667,1,1,0.333333333,0,0
2,C,C,0,0,0,0.833333333,0.666666667,1.166666667,0.333333333,0.333333333,0,0
3,C,C,0,0,0,0.5,0.666666667,0.666666667,0.4,0.5,0.333333333,0
4,C,C,0,0,0,0.666666667,1,0.833333333,0.5,0.4,0,0
5,C,C,0,0,0,0.5,0.833333333,1.166666667,0.166666667,0.4,0,0
6,C,C,0,0,0,0.5,0.666666667,1,0.833333333,0.5,0,0
7,C,L,0,0,0,0.833333333,0.833333333,0.666666667,0.25,0,0,0
8,C,L,0,0,0,0.8333,1.3333,0.3333,0.4,0.3333,0.5,0
9,C,L,0,0,0,1,1,0.333333333,0.6,0.25,1,0
10,C,L,0,0,0,1,0.833333333,0.333333333,0.6,0.25,1,0
11,C,L,0,0,0,0.333333333,1.166666667,0.833333333,0.25,1,0,0
12,C,L,0,0,0,0.833333333,1,0.5,0.333333333,1,0,0
13,L,C,0,0,0,0.666666667,0.666666667,1.333333333,1,0.5,0,0
14,L,C,0,0,0,0.8333,0.8333,1.6667,0.333333333,0.2,0.5,0
15,L,C,0,0,0,0.5,1,1.166666667,1.6,0.5,0,0
16,L,C,0,0,0,0.5,0.666666667,2,1,1,0,0
17,L,C,0,0,0,0.666666667,0.5,1.666666667,0.8,1,0,0
18,L,C,0,0,0,0.833333333,0.666666667,1.666666667,0.8,0.666666667,0,0
19,L,L,0,0,0,0.666666667,1.666666667,1.5,0.5,0.666666667,0.666666667,0
20,L,L,0,0,0,0.3333,1.8333,1.6667,1,0.2,0.666666667,0
21,L,L,0,0,0,0.5,2,1.166666667,0.6,0.4,0.25,0
22,L,L,0,0,0,0.5,1.333333333,1.333333333,1.25,0,0.5,0
23,L,L,0,0,0,0.5,1.666666667,1.333333333,0.2,0.333333333,0,0
24,L,L,0,0,0,0.666666667,1.5,1.666666667,0.166666667,0,0,0
