id,P,F,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,C,C,1,1,3.875,4.875,6.375,7.625,6.375,4,3.375,3,2.375
2,C,C,1,1,3.75,4.5,6.625,7.5,5.875,4.125,3.625,3,2.125
3,C,C,1,1,4,5.875,7.375,7.25,6.75,5.25,4.75,3.875,3
4,C,C,1,1,2.875,4.25,6.375,7.375,5.75,3.875,2.875,2.875,2.125
5,C,C,1,1,4.25,5.875,6.875,7.5,5.5,4.375,3.75,2.625,2.625
6,C,C,1,1,3.75,5.25,6.375,8,5.25,4,3.5,3.375,2.625
7,C,L,1,1,2.75,4.125,4,3,2.625,1.875,1.25,1.375,1.25
8,C,L,1,1,2.625,3.125,3.375,3,1.625,1.125,1.5,1,1
9,C,L,1,1,2.875,3.75,3.25,2.5,2.375,1.5,1.125,1.375,1.25
10,C,L,1,1,3.25,4.25,3.125,1.875,1.375,1.375,1.75,0.875,1.125
11,C,L,1,1,3.375,3.625,3.625,2.75,1.875,1.75,1.5,1.125,1.25
12,C,L,1,1,3.875,4.25,2.75,1.75,1.875,1.75,1.25,1.25,0.625
13,L,C,1,1,1.875,1,1.375,1.625,1.125,0.875,0.875,0.5,0.625
14,L,C,1,1,2.125,1.375,2,2.25,2.25,1.375,0.625,0.375,0.125
15,L,C,1,1,2,1.75,2,1.375,1.125,0.75,0.5,0.25,0.25
16,L,C,1,1,2,1.75,1.75,1.375,1.125,0.625,0.25,0.375,0.5
17,L,C,1,1,1.875,1.75,2.125,3.125,2.625,2.25,1.875,1.5,0.625
18,L,C,1,1,1.625,1.25,2,2.25,2.5,2.125,1.75,1.125,1
19,L,L,1,1,4.375,3.5,3.375,2.5,1.875,0.875,0.75,0.625,0.5
20,L,L,1,1,4.5,4.5,4,2.875,2.5,2.125,0.375,0.25,0.25
21,L,L,1,1,5.75,4.375,3.875,3.625,2.375,0.625,0.375,0.375,0.5
22,L,L,1,1,3.875,3.375,3,2.375,2,1.75,1,0.375,0.5
23,L,L,1,1,4.125,2.875,2.875,2.75,2.375,2.25,2.5,1.25,0.625
24,L,L,1,1,3.875,3.125,3.125,2,1.375,1.5,0.375,0.25,0.25
