offspring,P,F
1,C,C
2,C,C
3,C,C
3,C,C
4,C,C
4,C,C
2,C,C
3,C,C
4,C,C
3,C,C
4,C,C
4,C,C
1,C,C
2,C,C
3,C,C
3,C,C
3,C,C
4,C,C
3,C,C
3,C,C
4,C,C
4,C,C
3,C,C
3,C,C
2,C,C
3,C,C
3,C,C
4,C,C
3,C,C
3,C,C
3,C,C
3,C,C
3,C,C
3,C,C
4,C,C
4,C,C
2,C,L
2,C,L
2,C,L
2,C,L
3,C,L
4,C,L
1,C,L
3,C,L
2,C,L
4,C,L
4,C,L
5,C,L
2,C,L
2,C,L
3,C,L
4,C,L
4,C,L
5,C,L
2,C,L
3,C,L
3,C,L
3,C,L
3,C,L
4,C,L
2,C,L
3,C,L
3,C,L
3,C,L
3,C,L
4,C,L
2,C,L
2,C,L
2,C,L
3,C,L
3,C,L
5,C,L
3,L,C
3,L,C
4,L,C
4,L,C
4,L,C
4,L,C
4,L,C
4,L,C
4,L,C
4,L,C
5,L,C
5,L,C
3,L,C
3,L,C
5,L,C
5,L,C
5,L,C
4,L,C
3,L,C
5,L,C
4,L,C
4,L,C
4,L,C
5,L,C
3,L,C
4,L,C
5,L,C
4,L,C
3,L,C
4,L,C
4,L,C
5,L,C
4,L,C
3,L,C
4,L,C
5,L,C
3,L,L
4,L,L
5,L,L
6,L,L
5,L,L
6,L,L
4,L,L
5,L,L
5,L,L
6,L,L
5,L,L
7,L,L
3,L,L
5,L,L
5,L,L
6,L,L
5,L,L
5,L,L
4,L,L
5,L,L
3,L,L
4,L,L
5,L,L
4,L,L
3,L,L
2,L,L
4,L,L
5,L,L
3,L,L
6,L,L
4,L,L
3,L,L
4,L,L
4,L,L
4,L,L
5,L,L
