T,P,F,rate
4.612652359,C,C,55.35182831
4.398172176,C,C,52.77806611
4.722402253,C,C,56.66882704
4.45333621,C,C,53.44003452
4.511494465,C,C,54.13793358
4.767097118,C,C,57.20516542
3.970093072,C,M,47.64111686
4.191179314,C,M,50.29415177
4.329255223,C,M,51.95106268
4.238931245,C,M,50.86717494
4.609471795,C,M,55.31366154
4.166302123,C,M,49.99562548
4.592636289,M,C,55.11163547
4.44306603,M,C,53.31679236
4.737675845,M,C,56.85211014
4.727892876,M,C,56.73471451
4.677766371,M,C,56.13319645
4.545610883,M,C,54.5473306
4.517256383,M,M,54.2070766
4.736938948,M,M,56.84326738
4.489201405,M,M,53.87041686
4.57087662,M,M,54.85051944
4.309666903,M,M,51.71600284
4.227396498,M,M,50.72875798
