V,P,F
173.1302319,C,C
176.9831661,C,C
204.460213,C,C
172.6813255,C,C
158.8136232,C,C
159.2423145,C,C
158.2014843,C,C
187.3062354,C,C
194.8979679,C,C
150.3418872,C,C
183.3212757,C,C
161.3391948,C,C
177.2027464,C,C
166.5337548,C,C
169.1002411,C,C
143.3586531,C,C
171.9234938,C,C
162.0793364,C,C
151.0396185,C,C
153.8785562,C,C
160.2154146,C,C
169.3725142,C,C
125.1608946,C,C
147.1980177,C,C
143.3159981,C,C
153.5475017,C,C
162.9945805,C,C
144.2838863,C,C
95.93563887,C,C
139.4336254,C,C
179.9568676,C,M
159.1055792,C,M
181.1377696,C,M
106.2135049,C,M
108.5542767,C,M
170.6606873,C,M
188.8515921,C,M
142.242227,C,M
150.4110777,C,M
150.4110777,C,M
152.8429492,C,M
187.6076903,C,M
174.1961995,C,M
243.1550214,C,M
136.7875064,C,M
187.1221963,C,M
150.7420391,C,M
168.2282518,C,M
142.652901,C,M
168.2282518,C,M
137.0781425,C,M
175.1705192,C,M
213.480099,C,M
199.8613228,C,M
168.7890787,C,M
193.826708,C,M
166.8336823,C,M
188.9004451,C,M
141.8278745,C,M
149.2830126,C,M
147.0632902,M,C
155.1288062,M,C
163.1558277,M,C
146.1526826,M,C
148.895118,M,C
113.2739835,M,C
88.07982519,M,C
121.0217185,M,C
82.96413001,M,C
70.6123616,M,C
69.92773627,M,C
129.1558331,M,C
149.2545133,M,C
178.1954044,M,C
122.7243619,M,C
156.2773404,M,C
117.2614173,M,C
115.7803315,M,C
129.9926117,M,C
219.8840424,M,C
167.5719342,M,C
186.664512,M,C
183.1557353,M,C
175.9716568,M,C
156.6849516,M,C
192.8322271,M,C
110.6336385,M,C
221.465782,M,C
190.3638743,M,C
176.7316772,M,C
146.0110006,M,M
149.1165573,M,M
189.1185671,M,M
135.3017765,M,M
150.3011373,M,M
96.43988008,M,M
76.13901429,M,M
117.7584791,M,M
179.1683061,M,M
113.2844855,M,M
124.5041537,M,M
138.7130486,M,M
128.7504703,M,M
147.2068856,M,M
106.7984256,M,M
220.8707216,M,M
126.2623165,M,M
169.1781264,M,M
157.4279562,M,M
156.9437822,M,M
107.4846288,M,M
132.3034289,M,M
109.1285239,M,M
155.0527134,M,M
131.6588367,M,M
139.3460939,M,M
140.7132646,M,M
175.6629078,M,M
183.3697272,M,M
120.0227646,M,M
